dateHour;gpsSpeed;gpsSatCount;Gear;Brake_pedal;Accel_pedal;Machine_Speed_Mesured;AST_Direction;Ast_HPMB1_Pressure_bar;Ast_HPMA_Pressure_bar;Pressure_HighPressureReturn;Pressure_HighPressure;Oil_Temperature;Ast_FrontAxleSpeed_Rpm;Pump_Speed
2018-01-19 07:39:0.309768;72.24;56.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33126.0;102.0;33126.0;1244.0
2018-01-19 07:39:0.410678;72.47;79.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33125.0;101.0;33125.0;1243.0
2018-01-19 07:39:0.511145;72.43;75.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33124.0;100.0;33124.0;1242.0
2018-01-19 07:39:0.611158;72.32000000000001;64.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33124.0;100.0;33124.0;1239.0
2018-01-19 07:39:1.11165;72.51;83.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33122.0;98.0;33122.0;1233.0
2018-01-19 07:39:1.212618;72.75;107.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33121.0;97.0;33121.0;1230.0
2018-01-19 07:39:1.312678;72.71000000000001;103.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33121.0;97.0;33121.0;1230.0
2018-01-19 07:39:1.413124;72.8;112.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33121.0;97.0;33121.0;1227.0
2018-01-19 07:39:1.513123;73.0;132.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33120.0;96.0;33120.0;1226.0
2018-01-19 07:39:1.613165;72.27;59.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33120.0;96.0;33120.0;1224.0
2018-01-19 07:39:1.757773;72.34;66.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33119.0;95.0;33119.0;1222.0
2018-01-19 07:39:1.860651;72.14;46.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33119.0;95.0;33119.0;1222.0
2018-01-19 07:39:1.960655;71.66;254.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33119.0;95.0;33119.0;1221.0
2018-01-19 07:39:2.060683;71.45;233.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33117.0;93.0;33117.0;1221.0
2018-01-19 07:39:2.161139;71.37;225.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33117.0;93.0;33117.0;1219.0
2018-01-19 07:39:2.261143;71.0;188.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33116.0;92.0;33116.0;1217.0
2018-01-19 07:39:2.36119;71.09;197.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33116.0;92.0;33116.0;1217.0
2018-01-19 07:39:2.461639;71.38;226.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33116.0;92.0;33116.0;1212.0
2018-01-19 07:39:2.561646;71.21000000000001;209.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33115.0;91.0;33115.0;1213.0
2018-01-19 07:39:2.66168;71.25;213.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33115.0;91.0;33115.0;1211.0
2018-01-19 07:39:2.762642;71.31;219.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33114.0;90.0;33114.0;1209.0
2018-01-19 07:39:2.862637;70.58;146.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33114.0;90.0;33114.0;1208.0
2018-01-19 07:39:2.962672;71.22;210.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33114.0;90.0;33114.0;1207.0
2018-01-19 07:39:3.063126;70.96000000000001;184.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33113.0;89.0;33113.0;1205.0
2018-01-19 07:39:3.163134;70.59;147.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33113.0;89.0;33113.0;1203.0
2018-01-19 07:39:3.263176;70.58;146.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33112.0;88.0;33112.0;1203.0
2018-01-19 07:39:3.402674;70.45;133.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33112.0;88.0;33112.0;1200.0
2018-01-19 07:39:3.502691;70.72;160.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33112.0;88.0;33112.0;1202.0
2018-01-19 07:39:3.602686;70.54;142.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33112.0;88.0;33112.0;1200.0
2018-01-19 07:39:3.702681;71.0;188.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33111.0;87.0;33111.0;1197.0
2018-01-19 07:39:3.802707;70.10000000000001;98.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33111.0;87.0;33111.0;1196.0
2018-01-19 07:39:3.90384;70.13;101.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33110.0;86.0;33110.0;1196.0
2018-01-19 07:39:4.003842;70.29;117.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33110.0;86.0;33110.0;1195.0
2018-01-19 07:39:4.103851;70.53;141.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33109.0;85.0;33109.0;1194.0
2018-01-19 07:39:4.203851;70.31;119.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33109.0;85.0;33109.0;1191.0
2018-01-19 07:39:4.303858;70.11;99.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33109.0;85.0;33109.0;1190.0
2018-01-19 07:39:4.403866;70.10000000000001;98.0;137.0;137.0;2.0;20.0;20.0;0.0;0.0;0.0;33109.0;85.0;33109.0;1188.0
2018-01-19 07:39:4.503875;69.60000000000001;48.0;137.0;137.0;20.0;20.0;20.0;0.0;0.0;0.0;33108.0;84.0;33108.0;1186.0
2018-01-19 07:39:4.603865;70.5;138.0;137.0;137.0;22.0;20.0;20.0;0.0;0.0;0.0;33107.0;83.0;33107.0;1203.0
