dateHour;gpsSpeed;gpsSatCount;Gear;Brake_pedal;Accel_pedal;Machine_Speed_Mesured;AST_Direction;Ast_HPMB1_Pressure_bar;Ast_HPMA_Pressure_bar;Pressure_HighPressureReturn;Pressure_HighPressure;Oil_Temperature;Ast_FrontAxleSpeed_Rpm;Pump_Speed
2018-01-22 09:17:0.309768;0.1;10.0;126.0;126.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;648.0
2018-01-22 09:17:2.326302;0.06;6.0;126.0;126.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;648.0
2018-01-22 09:17:2.42637;0.06;6.0;126.0;126.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;646.0
2018-01-22 09:17:2.529239;0.13;13.0;126.0;126.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;646.0
2018-01-22 09:17:2.629244;0.03;3.0;126.0;126.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;649.0
2018-01-22 09:17:2.729291;0.09;9.0;126.0;126.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;649.0
2018-01-22 09:17:2.829745;0.07;7.0;126.0;126.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;646.0
2018-01-22 09:17:2.929744;0.03;3.0;126.0;126.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;645.0
2018-01-22 09:17:3.33028;0.36;36.0;126.0;126.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;649.0
2018-01-22 09:17:3.43124;0.44;44.0;126.0;126.0;0.0;20.0;20.0;1.0;1.0;1.0;32767.0;255.0;32767.0;650.0
2018-01-22 09:17:3.531244;0.34;34.0;126.0;126.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;645.0
2018-01-22 09:17:3.631283;0.25;25.0;126.0;126.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;644.0
2018-01-22 09:17:3.731719;0.12;12.0;126.0;126.0;0.0;20.0;20.0;0.0;0.0;0.0;32767.0;255.0;32767.0;649.0
