dateHour;gpsSpeed;gpsSatCount;Gear;Brake_pedal;Accel_pedal;Machine_Speed_Mesured;AST_Direction;Ast_HPMB1_Pressure_bar;Ast_HPMA_Pressure_bar;Pressure_HighPressureReturn;Pressure_HighPressure;Oil_Temperature;Ast_FrontAxleSpeed_Rpm;Pump_Speed
2018-01-19 05:56:0.309768;2.66;10.0;124.0;124.0;15.0;20.0;20.0;4.0;4.0;4.0;32780.0;12.0;32780.0;771.0
2018-01-19 05:56:0.409763;2.48;248.0;124.0;124.0;15.0;20.0;20.0;4.0;4.0;4.0;32779.0;11.0;32779.0;760.0
2018-01-19 05:56:0.509753;2.39;239.0;124.0;124.0;16.0;20.0;20.0;4.0;4.0;4.0;32779.0;11.0;32779.0;741.0
2018-01-19 05:56:0.609763;2.33;233.0;124.0;124.0;19.0;20.0;20.0;3.0;3.0;3.0;32779.0;11.0;32779.0;736.0
2018-01-19 05:56:0.709768;2.24;224.0;124.0;124.0;24.0;20.0;20.0;4.0;4.0;4.0;32779.0;11.0;32779.0;735.0
2018-01-19 05:56:0.809773;2.27;227.0;124.0;124.0;27.0;20.0;20.0;4.0;4.0;4.0;32779.0;11.0;32779.0;751.0
2018-01-19 05:56:0.909771;2.15;215.0;124.0;124.0;27.0;20.0;20.0;5.0;5.0;5.0;32779.0;11.0;32779.0;814.0
2018-01-19 05:56:1.009782;2.2800000000000002;228.0;124.0;124.0;27.0;20.0;20.0;5.0;5.0;5.0;32779.0;11.0;32779.0;884.0
2018-01-19 05:56:1.109779;1.95;195.0;124.0;124.0;27.0;20.0;20.0;6.0;6.0;6.0;32779.0;11.0;32779.0;938.0
2018-01-19 05:56:1.209794;2.14;214.0;124.0;124.0;27.0;20.0;20.0;7.0;7.0;7.0;32781.0;13.0;32781.0;978.0
2018-01-19 05:56:1.309788;2.19;219.0;124.0;124.0;27.0;20.0;20.0;7.0;7.0;7.0;32781.0;13.0;32781.0;995.0
2018-01-19 05:56:1.409789;2.39;239.0;124.0;124.0;27.0;20.0;20.0;7.0;7.0;7.0;32783.0;15.0;32783.0;1007.0
2018-01-19 05:56:1.509799;2.49;249.0;124.0;124.0;26.0;20.0;20.0;7.0;7.0;7.0;32783.0;15.0;32783.0;1022.0
2018-01-19 05:56:1.609804;2.48;248.0;124.0;124.0;25.0;20.0;20.0;8.0;8.0;8.0;32783.0;15.0;32783.0;1037.0
2018-01-19 05:56:1.709806;2.59;3.0;124.0;124.0;24.0;20.0;20.0;8.0;8.0;8.0;32783.0;15.0;32783.0;1062.0
2018-01-19 05:56:1.809809;3.12;56.0;124.0;124.0;25.0;20.0;20.0;9.0;9.0;9.0;32783.0;15.0;32783.0;1088.0
2018-01-19 05:56:1.90981;2.9;34.0;124.0;124.0;25.0;20.0;20.0;8.0;8.0;8.0;32784.0;16.0;32784.0;1108.0
2018-01-19 05:56:2.009818;3.21;65.0;124.0;124.0;24.0;20.0;20.0;9.0;9.0;9.0;32784.0;16.0;32784.0;1131.0
2018-01-19 05:56:2.109811;3.13;57.0;124.0;124.0;24.0;20.0;20.0;9.0;9.0;9.0;32784.0;16.0;32784.0;1150.0
2018-01-19 05:56:2.209831;2.92;36.0;124.0;124.0;24.0;20.0;20.0;9.0;9.0;9.0;32785.0;17.0;32785.0;1166.0
2018-01-19 05:56:2.309836;3.37;81.0;124.0;124.0;24.0;20.0;20.0;9.0;9.0;9.0;32785.0;17.0;32785.0;1186.0
2018-01-19 05:56:2.409835;3.43;87.0;124.0;124.0;24.0;20.0;20.0;10.0;10.0;10.0;32785.0;17.0;32785.0;1204.0
2018-01-19 05:56:2.509845;3.69;113.0;124.0;124.0;23.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1219.0
2018-01-19 05:56:2.609848;3.56;100.0;124.0;124.0;23.0;20.0;20.0;10.0;10.0;10.0;32786.0;18.0;32786.0;1230.0
2018-01-19 05:56:2.709847;3.85;129.0;124.0;124.0;22.0;20.0;20.0;10.0;10.0;10.0;32786.0;18.0;32786.0;1237.0
2018-01-19 05:56:2.809843;4.0600000000000005;150.0;124.0;124.0;20.0;20.0;20.0;11.0;11.0;11.0;32787.0;19.0;32787.0;1246.0
2018-01-19 05:56:2.909854;3.99;143.0;124.0;124.0;20.0;20.0;20.0;10.0;10.0;10.0;32787.0;19.0;32787.0;1247.0
2018-01-19 05:56:3.00986;3.68;112.0;124.0;124.0;20.0;20.0;20.0;10.0;10.0;10.0;32787.0;19.0;32787.0;1246.0
2018-01-19 05:56:3.109863;3.56;100.0;124.0;124.0;16.0;20.0;20.0;10.0;10.0;10.0;32787.0;19.0;32787.0;1245.0
2018-01-19 05:56:3.20987;3.52;96.0;124.0;124.0;16.0;20.0;20.0;10.0;10.0;10.0;32787.0;19.0;32787.0;1237.0
2018-01-19 05:56:3.309873;3.47;91.0;124.0;124.0;16.0;20.0;20.0;10.0;10.0;10.0;32787.0;19.0;32787.0;1219.0
2018-01-19 05:56:3.409873;3.71;115.0;124.0;124.0;16.0;20.0;20.0;9.0;9.0;9.0;32787.0;19.0;32787.0;1203.0
2018-01-19 05:56:3.509885;3.88;132.0;124.0;124.0;16.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1188.0
2018-01-19 05:56:3.609924;3.91;135.0;124.0;124.0;16.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1182.0
2018-01-19 05:56:3.709917;3.91;135.0;124.0;124.0;16.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1183.0
2018-01-19 05:56:3.809931;3.79;123.0;124.0;124.0;16.0;20.0;20.0;10.0;10.0;10.0;32786.0;18.0;32786.0;1192.0
2018-01-19 05:56:3.909939;4.57;201.0;124.0;124.0;16.0;20.0;20.0;10.0;10.0;10.0;32786.0;18.0;32786.0;1202.0
2018-01-19 05:56:4.009944;4.12;156.0;124.0;124.0;16.0;20.0;20.0;10.0;10.0;10.0;32786.0;18.0;32786.0;1209.0
2018-01-19 05:56:4.10995;3.86;130.0;124.0;124.0;16.0;20.0;20.0;10.0;10.0;10.0;32786.0;18.0;32786.0;1211.0
2018-01-19 05:56:4.20995;4.14;158.0;124.0;124.0;16.0;20.0;20.0;10.0;10.0;10.0;32786.0;18.0;32786.0;1210.0
2018-01-19 05:56:4.309959;3.7800000000000002;122.0;124.0;124.0;16.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1206.0
2018-01-19 05:56:4.409959;3.97;141.0;124.0;124.0;16.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1202.0
2018-01-19 05:56:4.509961;3.91;135.0;124.0;124.0;16.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1196.0
2018-01-19 05:56:4.609957;3.48;92.0;124.0;124.0;16.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1189.0
2018-01-19 05:56:4.709976;3.85;129.0;124.0;124.0;16.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1181.0
2018-01-19 05:56:4.809979;3.49;93.0;124.0;124.0;16.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1175.0
2018-01-19 05:56:4.909988;3.44;88.0;124.0;124.0;16.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1170.0
2018-01-19 05:56:5.009999;3.23;67.0;124.0;124.0;16.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1167.0
2018-01-19 05:56:5.110001;3.6;104.0;124.0;124.0;16.0;20.0;20.0;8.0;8.0;8.0;32786.0;18.0;32786.0;1167.0
2018-01-19 05:56:5.210004;3.27;71.0;124.0;124.0;16.0;20.0;20.0;8.0;8.0;8.0;32786.0;18.0;32786.0;1167.0
2018-01-19 05:56:5.310016;3.38;82.0;124.0;124.0;16.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1166.0
2018-01-19 05:56:5.410017;3.77;121.0;124.0;124.0;16.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1167.0
2018-01-19 05:56:5.526885;3.68;112.0;124.0;124.0;16.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1168.0
2018-01-19 05:56:5.629301;3.41;85.0;124.0;124.0;17.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1168.0
2018-01-19 05:56:5.729305;3.45;89.0;124.0;124.0;17.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1169.0
2018-01-19 05:56:5.829347;3.54;98.0;124.0;124.0;17.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1169.0
2018-01-19 05:56:5.929803;3.2;64.0;124.0;124.0;17.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1172.0
2018-01-19 05:56:6.0298;3.12;56.0;124.0;124.0;17.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1176.0
2018-01-19 05:56:6.430328;3.0300000000000002;47.0;124.0;124.0;20.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1192.0
2018-01-19 05:56:6.531296;3.19;63.0;124.0;124.0;20.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1203.0
2018-01-19 05:56:6.631771;3.2800000000000002;72.0;124.0;124.0;20.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1211.0
2018-01-19 05:56:6.731828;3.3200000000000003;76.0;124.0;124.0;20.0;20.0;20.0;9.0;9.0;9.0;32786.0;18.0;32786.0;1219.0
2018-01-19 05:56:6.876935;3.42;86.0;124.0;124.0;20.0;20.0;20.0;10.0;10.0;10.0;32786.0;18.0;32786.0;1224.0
2018-01-19 05:56:6.979325;3.47;91.0;124.0;124.0;22.0;20.0;20.0;10.0;10.0;10.0;32786.0;18.0;32786.0;1227.0
2018-01-19 05:56:7.079329;3.3000000000000003;74.0;124.0;124.0;24.0;20.0;20.0;10.0;10.0;10.0;32787.0;19.0;32787.0;1233.0
2018-01-19 05:56:7.179384;3.29;73.0;124.0;124.0;24.0;20.0;20.0;10.0;10.0;10.0;32787.0;19.0;32787.0;1250.0
2018-01-19 05:56:7.279836;3.47;91.0;124.0;124.0;25.0;20.0;20.0;10.0;10.0;10.0;32787.0;19.0;32787.0;1271.0
2018-01-19 05:56:7.379833;3.6;104.0;124.0;124.0;25.0;20.0;20.0;10.0;10.0;10.0;32787.0;19.0;32787.0;1294.0
2018-01-19 05:56:7.479866;3.6;104.0;124.0;124.0;24.0;20.0;20.0;11.0;11.0;11.0;32788.0;20.0;32788.0;1315.0
2018-01-19 05:56:7.580306;4.03;147.0;124.0;124.0;24.0;20.0;20.0;11.0;11.0;11.0;32788.0;20.0;32788.0;1331.0
2018-01-19 05:56:7.680318;4.25;169.0;124.0;124.0;24.0;20.0;20.0;11.0;11.0;11.0;32788.0;20.0;32788.0;1340.0
2018-01-19 05:56:7.78035;3.97;141.0;124.0;124.0;24.0;20.0;20.0;11.0;11.0;11.0;32788.0;20.0;32788.0;1348.0
2018-01-19 05:56:7.881306;4.05;149.0;124.0;124.0;25.0;20.0;20.0;11.0;11.0;11.0;32789.0;21.0;32789.0;1354.0
2018-01-19 05:56:7.981317;3.95;139.0;124.0;124.0;24.0;20.0;20.0;11.0;11.0;11.0;32789.0;21.0;32789.0;1360.0
2018-01-19 05:56:8.08136;4.08;152.0;124.0;124.0;23.0;20.0;20.0;12.0;12.0;12.0;32789.0;21.0;32789.0;1373.0
2018-01-19 05:56:8.181805;4.45;189.0;124.0;124.0;23.0;20.0;20.0;11.0;11.0;11.0;32789.0;21.0;32789.0;1383.0
2018-01-19 05:56:8.281798;4.54;198.0;124.0;124.0;23.0;20.0;20.0;11.0;11.0;11.0;32789.0;21.0;32789.0;1391.0
2018-01-19 05:56:8.381834;4.24;168.0;124.0;124.0;23.0;20.0;20.0;12.0;12.0;12.0;32789.0;21.0;32789.0;1399.0
2018-01-19 05:56:8.50792;4.28;172.0;124.0;124.0;23.0;20.0;20.0;11.0;11.0;11.0;32789.0;21.0;32789.0;1406.0
2018-01-19 05:56:8.607929;4.3500000000000005;179.0;124.0;124.0;23.0;20.0;20.0;12.0;12.0;12.0;32789.0;21.0;32789.0;1412.0
