dateHour;gpsSpeed;gpsSatCount;Gear;Brake_pedal;Accel_pedal;Machine_Speed_Mesured;AST_Direction;Ast_HPMB1_Pressure_bar;Ast_HPMA_Pressure_bar;Pressure_HighPressureReturn;Pressure_HighPressure;Oil_Temperature;Ast_FrontAxleSpeed_Rpm;Pump_Speed
2018-01-19 05:37:0.612611;8.620000000000001;94.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32826.0;58.0;32826.0;894.0
2018-01-19 05:37:0.747017;8.52;84.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32825.0;57.0;32825.0;880.0
2018-01-19 05:37:0.847016;7.65;253.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32824.0;56.0;32824.0;864.0
2018-01-19 05:37:0.947023;8.32;64.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32823.0;55.0;32823.0;855.0
2018-01-19 05:37:1.047027;8.17;49.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32823.0;55.0;32823.0;843.0
2018-01-19 05:37:1.147113;8.13;45.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32821.0;53.0;32821.0;814.0
2018-01-19 05:37:1.249628;7.2;208.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32819.0;51.0;32819.0;777.0
2018-01-19 05:37:1.349627;7.75;7.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32818.0;50.0;32818.0;753.0
2018-01-19 05:37:1.449635;7.2;208.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32816.0;48.0;32816.0;725.0
2018-01-19 05:37:1.549635;6.5200000000000005;140.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32813.0;45.0;32813.0;699.0
2018-01-19 05:37:1.649646;5.75;63.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32812.0;44.0;32812.0;682.0
2018-01-19 05:37:1.749645;5.33;21.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32808.0;40.0;32808.0;680.0
2018-01-19 05:37:1.849646;4.9;234.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32806.0;38.0;32806.0;678.0
2018-01-19 05:37:1.949643;4.65;209.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32805.0;37.0;32805.0;673.0
2018-01-19 05:37:2.049648;5.8500000000000005;73.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32803.0;35.0;32803.0;666.0
2018-01-19 05:37:2.149654;5.87;75.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32801.0;33.0;32801.0;659.0
2018-01-19 05:37:2.249661;6.21;109.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32800.0;32.0;32800.0;653.0
2018-01-19 05:37:2.349669;6.18;106.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32800.0;32.0;32800.0;649.0
2018-01-19 05:37:2.449672;5.87;75.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32799.0;31.0;32799.0;646.0
2018-01-19 05:37:2.549679;6.03;91.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32799.0;31.0;32799.0;642.0
2018-01-19 05:37:2.649689;5.97;85.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32798.0;30.0;32798.0;641.0
2018-01-19 05:37:2.749694;5.3500000000000005;23.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32798.0;30.0;32798.0;639.0
2018-01-19 05:37:2.84971;5.28;16.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32797.0;29.0;32797.0;639.0
2018-01-19 05:37:2.949728;4.87;231.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32796.0;28.0;32796.0;757.0
2018-01-19 05:37:3.057671;4.0;144.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32795.0;27.0;32795.0;883.0
2018-01-19 05:37:3.157733;3.62;106.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32794.0;26.0;32794.0;953.0
2018-01-19 05:37:3.260129;3.41;85.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32794.0;26.0;32794.0;1072.0
2018-01-19 05:37:3.360611;4.21;165.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32793.0;25.0;32793.0;1159.0
2018-01-19 05:37:3.561113;3.77;121.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32792.0;24.0;32792.0;1293.0
2018-01-19 05:37:3.662076;3.0100000000000002;45.0;131.0;131.0;0.0;20.0;20.0;0.0;0.0;0.0;32792.0;24.0;32792.0;1299.0
2018-01-19 05:37:3.76214;3.2600000000000002;70.0;126.0;126.0;0.0;20.0;20.0;0.0;0.0;0.0;32791.0;23.0;32791.0;1257.0
2018-01-19 05:37:3.862591;3.24;68.0;126.0;126.0;0.0;20.0;20.0;0.0;0.0;0.0;32791.0;23.0;32791.0;1199.0
2018-01-19 05:37:3.962606;3.09;53.0;126.0;126.0;0.0;20.0;20.0;0.0;0.0;0.0;32790.0;22.0;32790.0;1152.0
2018-01-19 05:37:4.062685;3.8200000000000003;126.0;126.0;126.0;0.0;20.0;20.0;0.0;0.0;0.0;32789.0;21.0;32789.0;1107.0
2018-01-19 05:37:4.20775;3.33;77.0;126.0;126.0;0.0;20.0;20.0;0.0;0.0;0.0;32788.0;20.0;32788.0;1068.0
2018-01-19 05:37:4.310158;3.4;84.0;126.0;126.0;0.0;20.0;20.0;0.0;0.0;0.0;32787.0;19.0;32787.0;1028.0
2018-01-19 05:37:4.410157;3.84;128.0;126.0;126.0;0.0;20.0;20.0;0.0;0.0;0.0;32786.0;18.0;32786.0;989.0
2018-01-19 05:37:4.5102;3.75;119.0;126.0;126.0;0.0;20.0;20.0;0.0;0.0;0.0;32786.0;18.0;32786.0;957.0
2018-01-19 05:37:4.610658;3.5500000000000003;99.0;126.0;126.0;4.0;20.0;20.0;0.0;0.0;0.0;32784.0;16.0;32784.0;934.0
2018-01-19 05:37:4.710659;3.68;112.0;126.0;126.0;8.0;20.0;20.0;0.0;0.0;0.0;32784.0;16.0;32784.0;908.0
2018-01-19 05:37:4.81069;4.08;152.0;126.0;126.0;10.0;20.0;20.0;0.0;0.0;0.0;32784.0;16.0;32784.0;905.0
2018-01-19 05:37:4.911137;4.51;195.0;126.0;126.0;11.0;20.0;20.0;0.0;0.0;0.0;32784.0;16.0;32784.0;914.0
2018-01-19 05:37:5.01115;3.59;103.0;126.0;126.0;12.0;20.0;20.0;0.0;0.0;0.0;32784.0;16.0;32784.0;932.0
2018-01-19 05:37:5.111197;3.22;66.0;126.0;126.0;11.0;20.0;20.0;0.0;0.0;0.0;32784.0;16.0;32784.0;929.0
2018-01-19 05:37:5.212134;3.24;68.0;126.0;126.0;12.0;20.0;20.0;0.0;0.0;0.0;32784.0;16.0;32784.0;888.0
2018-01-19 05:37:5.312154;2.49;249.0;126.0;126.0;11.0;20.0;20.0;0.0;0.0;0.0;32783.0;15.0;32783.0;839.0
2018-01-19 05:37:5.412177;2.7;14.0;126.0;126.0;11.0;20.0;20.0;0.0;0.0;0.0;32783.0;15.0;32783.0;798.0
2018-01-19 05:37:5.512656;2.5500000000000003;255.0;126.0;126.0;11.0;20.0;20.0;0.0;0.0;0.0;32782.0;14.0;32782.0;775.0
2018-01-19 05:37:5.612658;2.06;206.0;126.0;126.0;12.0;20.0;20.0;0.0;0.0;0.0;32782.0;14.0;32782.0;771.0
2018-01-19 05:37:5.712679;2.21;221.0;126.0;126.0;12.0;20.0;20.0;0.0;0.0;0.0;32781.0;13.0;32781.0;778.0
2018-01-19 05:37:5.84731;1.82;182.0;126.0;126.0;12.0;20.0;20.0;0.0;0.0;0.0;32781.0;13.0;32781.0;793.0
2018-01-19 05:37:5.94732;2.0300000000000002;203.0;126.0;126.0;11.0;20.0;20.0;0.0;0.0;0.0;32781.0;13.0;32781.0;800.0
2018-01-19 05:37:6.047321;1.79;179.0;126.0;126.0;11.0;20.0;20.0;0.0;0.0;0.0;32782.0;14.0;32782.0;807.0
2018-01-19 05:37:6.147358;2.02;202.0;126.0;126.0;12.0;20.0;20.0;0.0;0.0;0.0;32782.0;14.0;32782.0;801.0
2018-01-19 05:37:6.247365;2.45;245.0;126.0;126.0;11.0;20.0;20.0;0.0;0.0;0.0;32782.0;14.0;32782.0;789.0
2018-01-19 05:37:6.347381;2.0300000000000002;203.0;126.0;126.0;13.0;20.0;20.0;0.0;0.0;0.0;32782.0;14.0;32782.0;767.0
2018-01-19 05:37:6.447377;2.14;214.0;126.0;126.0;15.0;20.0;20.0;0.0;0.0;0.0;32782.0;14.0;32782.0;749.0
2018-01-19 05:37:6.547385;2.14;214.0;126.0;126.0;14.0;20.0;20.0;0.0;0.0;0.0;32781.0;13.0;32781.0;747.0
2018-01-19 05:37:6.647384;2.14;214.0;126.0;126.0;15.0;20.0;20.0;0.0;0.0;0.0;32781.0;13.0;32781.0;749.0
2018-01-19 05:37:6.747389;1.43;143.0;126.0;126.0;15.0;20.0;20.0;0.0;0.0;0.0;32781.0;13.0;32781.0;751.0
2018-01-19 05:37:6.847391;2.22;222.0;126.0;126.0;15.0;20.0;20.0;0.0;0.0;0.0;32781.0;13.0;32781.0;752.0
2018-01-19 05:37:6.947396;1.67;167.0;126.0;126.0;16.0;20.0;20.0;0.0;0.0;0.0;32781.0;13.0;32781.0;752.0
2018-01-19 05:37:7.047406;1.52;152.0;126.0;126.0;15.0;20.0;20.0;0.0;0.0;0.0;32781.0;13.0;32781.0;754.0
2018-01-19 05:37:7.147404;1.31;131.0;126.0;126.0;16.0;20.0;20.0;0.0;0.0;0.0;32781.0;13.0;32781.0;752.0
2018-01-19 05:37:7.247417;0.84;84.0;126.0;126.0;15.0;20.0;20.0;0.0;0.0;0.0;32781.0;13.0;32781.0;752.0
2018-01-19 05:37:7.347415;1.49;149.0;126.0;126.0;16.0;20.0;20.0;0.0;0.0;0.0;32781.0;13.0;32781.0;746.0
2018-01-19 05:37:7.447421;1.24;124.0;126.0;126.0;16.0;20.0;20.0;0.0;0.0;0.0;32781.0;13.0;32781.0;743.0
2018-01-19 05:37:7.547424;1.44;144.0;126.0;126.0;16.0;20.0;20.0;0.0;0.0;0.0;32781.0;13.0;32781.0;741.0
2018-01-19 05:37:7.647461;1.24;124.0;126.0;126.0;16.0;20.0;20.0;0.0;0.0;0.0;32781.0;13.0;32781.0;740.0
2018-01-19 05:37:7.747454;1.35;135.0;126.0;126.0;16.0;20.0;20.0;0.0;0.0;0.0;32781.0;13.0;32781.0;745.0
2018-01-19 05:37:7.847463;1.6;160.0;126.0;126.0;16.0;20.0;20.0;0.0;0.0;0.0;32781.0;13.0;32781.0;747.0
2018-01-19 05:37:7.947465;1.94;194.0;126.0;126.0;16.0;20.0;20.0;0.0;0.0;0.0;32781.0;13.0;32781.0;753.0
2018-01-19 05:37:8.047468;2.13;213.0;126.0;126.0;16.0;20.0;20.0;0.0;0.0;0.0;32781.0;13.0;32781.0;757.0
2018-01-19 05:37:8.147485;1.77;177.0;126.0;126.0;16.0;20.0;20.0;0.0;0.0;0.0;32781.0;13.0;32781.0;759.0
2018-01-19 05:37:8.247477;2.15;215.0;126.0;126.0;16.0;20.0;20.0;0.0;0.0;0.0;32781.0;13.0;32781.0;762.0
