dateHour;gpsSpeed;gpsSatCount;Gear;Brake_pedal;Accel_pedal;Machine_Speed_Mesured;AST_Direction;Ast_HPMB1_Pressure_bar;Ast_HPMA_Pressure_bar;Pressure_HighPressureReturn;Pressure_HighPressure;Oil_Temperature;Ast_FrontAxleSpeed_Rpm;Pump_Speed
2018-01-19 07:58:0.76587;66.43;243.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33099.0;75.0;33099.0;1155.0
2018-01-19 07:58:0.865875;66.67;11.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33098.0;74.0;33098.0;1156.0
2018-01-19 07:58:0.965874;66.46000000000001;246.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33099.0;75.0;33099.0;1155.0
2018-01-19 07:58:1.065887;66.08;208.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33098.0;74.0;33098.0;1159.0
2018-01-19 07:58:1.165918;66.51;251.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33099.0;75.0;33099.0;1154.0
2018-01-19 07:58:1.265914;66.39;239.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33099.0;75.0;33099.0;1158.0
2018-01-19 07:58:1.365917;66.09;209.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33099.0;75.0;33099.0;1152.0
2018-01-19 07:58:1.465929;66.72;16.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33098.0;74.0;33098.0;1156.0
2018-01-19 07:58:1.565933;66.18;218.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33099.0;75.0;33099.0;1155.0
2018-01-19 07:58:1.665938;66.13;213.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33099.0;75.0;33099.0;1152.0
2018-01-19 07:58:1.765942;66.12;212.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33098.0;74.0;33098.0;1155.0
