dateHour;gpsSpeed;gpsSatCount;Gear;Brake_pedal;Accel_pedal;Machine_Speed_Mesured;AST_Direction;Ast_HPMB1_Pressure_bar;Ast_HPMA_Pressure_bar;Pressure_HighPressureReturn;Pressure_HighPressure;Oil_Temperature;Ast_FrontAxleSpeed_Rpm;Pump_Speed
2018-01-19 10:38:0.94339;85.92;144.0;137.0;137.0;60.0;20.0;20.0;0.0;0.0;0.0;33191.0;167.0;33191.0;1481.0
2018-01-19 10:38:1.043431;85.66;118.0;137.0;137.0;62.0;20.0;20.0;0.0;0.0;0.0;33190.0;166.0;33190.0;1476.0
2018-01-19 10:38:1.143882;85.60000000000001;112.0;137.0;137.0;62.0;20.0;20.0;0.0;0.0;0.0;33190.0;166.0;33190.0;1469.0
2018-01-19 10:38:1.243889;85.99;151.0;137.0;137.0;67.0;20.0;20.0;0.0;0.0;0.0;33189.0;165.0;33189.0;1465.0
2018-01-19 10:38:1.644427;85.13;65.0;137.0;137.0;71.0;20.0;20.0;0.0;0.0;0.0;33189.0;165.0;33189.0;1473.0
2018-01-19 10:38:1.745372;85.61;113.0;137.0;137.0;71.0;20.0;20.0;0.0;0.0;0.0;33190.0;166.0;33190.0;1467.0
2018-01-19 10:38:1.84538;85.39;91.0;137.0;137.0;72.0;20.0;20.0;0.0;0.0;0.0;33189.0;165.0;33189.0;1463.0
2018-01-19 10:38:1.945414;85.26;78.0;137.0;137.0;72.0;20.0;20.0;0.0;0.0;0.0;33188.0;164.0;33188.0;1467.0
2018-01-19 10:38:2.045852;85.33;85.0;137.0;137.0;72.0;20.0;20.0;0.0;0.0;0.0;33188.0;164.0;33188.0;1467.0
2018-01-19 10:38:2.145876;85.32000000000001;84.0;137.0;137.0;74.0;20.0;20.0;0.0;0.0;0.0;33188.0;164.0;33188.0;1464.0
2018-01-19 10:38:2.245908;85.04;56.0;137.0;137.0;74.0;20.0;20.0;0.0;0.0;0.0;33188.0;164.0;33188.0;1467.0
2018-01-19 10:38:2.391022;85.45;97.0;137.0;137.0;74.0;20.0;20.0;0.0;0.0;0.0;33189.0;165.0;33189.0;1475.0
2018-01-19 10:38:2.493433;85.08;60.0;137.0;137.0;74.0;20.0;20.0;0.0;0.0;0.0;33190.0;166.0;33190.0;1470.0
2018-01-19 10:38:2.59343;85.0;52.0;137.0;137.0;74.0;20.0;20.0;0.0;0.0;0.0;33189.0;165.0;33189.0;1468.0
2018-01-19 10:38:2.693471;85.45;97.0;137.0;137.0;74.0;20.0;20.0;0.0;0.0;0.0;33188.0;164.0;33188.0;1469.0
