dateHour;gpsSpeed;gpsSatCount;Gear;Brake_pedal;Accel_pedal;Machine_Speed_Mesured;AST_Direction;Ast_HPMB1_Pressure_bar;Ast_HPMA_Pressure_bar;Pressure_HighPressureReturn;Pressure_HighPressure;Oil_Temperature;Ast_FrontAxleSpeed_Rpm;Pump_Speed
2018-01-19 09:19:0.967413;80.72;136.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33165.0;141.0;33165.0;1385.0
2018-01-19 09:19:1.067864;80.43;107.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33165.0;141.0;33165.0;1386.0
2018-01-19 09:19:1.167878;80.77;141.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33165.0;141.0;33165.0;1389.0
2018-01-19 09:19:1.568385;81.07000000000001;171.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33165.0;141.0;33165.0;1385.0
2018-01-19 09:19:1.669348;80.99;163.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33165.0;141.0;33165.0;1381.0
2018-01-19 09:19:1.769351;81.32000000000001;196.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33165.0;141.0;33165.0;1385.0
2018-01-19 09:19:1.869402;81.13;177.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33165.0;141.0;33165.0;1386.0
2018-01-19 09:19:1.969837;81.2;184.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33165.0;141.0;33165.0;1386.0
2018-01-19 09:19:2.069855;81.12;176.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33165.0;141.0;33165.0;1387.0
2018-01-19 09:19:2.169884;80.99;163.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33164.0;140.0;33164.0;1387.0
2018-01-19 09:19:2.305243;81.33;197.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33165.0;141.0;33165.0;1386.0
2018-01-19 09:19:2.413289;81.24;188.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33166.0;142.0;33166.0;1385.0
2018-01-19 09:19:2.5133;81.12;176.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33165.0;141.0;33165.0;1385.0
2018-01-19 09:19:2.613308;80.85000000000001;149.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33165.0;141.0;33165.0;1383.0
2018-01-19 09:19:2.713308;80.86;150.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33165.0;141.0;33165.0;1387.0
2018-01-19 09:19:2.813302;80.84;148.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33165.0;141.0;33165.0;1385.0
2018-01-19 09:19:2.913311;80.56;120.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33166.0;142.0;33166.0;1383.0
2018-01-19 09:19:3.013319;80.94;158.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33166.0;142.0;33166.0;1387.0
2018-01-19 09:19:3.113377;80.5;114.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33165.0;141.0;33165.0;1385.0
2018-01-19 09:19:3.213374;80.97;161.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33166.0;142.0;33166.0;1384.0
2018-01-19 09:19:3.313377;81.0;164.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33166.0;142.0;33166.0;1387.0
2018-01-19 09:19:3.413391;81.03;167.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33165.0;141.0;33165.0;1388.0
2018-01-19 09:19:3.513409;81.37;201.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33166.0;142.0;33166.0;1385.0
2018-01-19 09:19:3.613407;81.43;207.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33165.0;141.0;33165.0;1392.0
