dateHour;gpsSpeed;gpsSatCount;Gear;Brake_pedal;Accel_pedal;Machine_Speed_Mesured;AST_Direction;Ast_HPMB1_Pressure_bar;Ast_HPMA_Pressure_bar;Pressure_HighPressureReturn;Pressure_HighPressure;Oil_Temperature;Ast_FrontAxleSpeed_Rpm;Pump_Speed
2018-01-19 09:38:0.636812;87.06;2.0;137.0;137.0;70.0;20.0;20.0;0.0;0.0;0.0;33193.0;169.0;33193.0;1483.0
2018-01-19 09:38:0.737271;86.71000000000001;223.0;137.0;137.0;70.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1483.0
2018-01-19 09:38:0.837271;86.4;192.0;137.0;137.0;70.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1487.0
2018-01-19 09:38:0.937298;86.52;204.0;137.0;137.0;70.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1483.0
2018-01-19 09:38:1.037744;86.69;221.0;137.0;137.0;70.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1483.0
2018-01-19 09:38:1.138714;86.27;179.0;137.0;137.0;70.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1481.0
2018-01-19 09:38:1.238786;86.31;183.0;137.0;137.0;70.0;20.0;20.0;0.0;0.0;0.0;33193.0;169.0;33193.0;1486.0
2018-01-19 09:38:1.339231;86.37;189.0;137.0;137.0;70.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1487.0
2018-01-19 09:38:1.475849;86.27;179.0;137.0;137.0;70.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1486.0
2018-01-19 09:38:1.57586;86.36;188.0;137.0;137.0;73.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1486.0
2018-01-19 09:38:1.675852;86.49;201.0;137.0;137.0;74.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1489.0
2018-01-19 09:38:1.775891;86.77;229.0;137.0;137.0;74.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1487.0
2018-01-19 09:38:1.875895;86.66;218.0;137.0;137.0;74.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1485.0
2018-01-19 09:38:1.975912;86.93;245.0;137.0;137.0;74.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1488.0
2018-01-19 09:38:2.07592;86.25;177.0;137.0;137.0;73.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1486.0
2018-01-19 09:38:2.175924;86.27;179.0;137.0;137.0;70.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1485.0
2018-01-19 09:38:2.279405;86.73;225.0;137.0;137.0;70.0;20.0;20.0;0.0;0.0;0.0;33193.0;169.0;33193.0;1481.0
2018-01-19 09:38:2.379427;86.23;175.0;137.0;137.0;70.0;20.0;20.0;0.0;0.0;0.0;33193.0;169.0;33193.0;1487.0
2018-01-19 09:38:2.479426;86.27;179.0;137.0;137.0;48.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1485.0
2018-01-19 09:38:2.579435;86.33;185.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1482.0
2018-01-19 09:38:2.67945;86.38;190.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1473.0
2018-01-19 09:38:2.779457;86.44;196.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33193.0;169.0;33193.0;1475.0
2018-01-19 09:38:2.879467;86.46000000000001;198.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33191.0;167.0;33191.0;1455.0
2018-01-19 09:38:2.979464;86.67;219.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33190.0;166.0;33190.0;1462.0
2018-01-19 09:38:3.079474;86.29;181.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33188.0;164.0;33188.0;1469.0
2018-01-19 09:38:3.183896;86.0;152.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33190.0;166.0;33190.0;1468.0
2018-01-19 09:38:3.286776;86.27;179.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33189.0;165.0;33189.0;1465.0
2018-01-19 09:38:3.386783;86.21000000000001;173.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33188.0;164.0;33188.0;1463.0
2018-01-19 09:38:3.48683;86.17;169.0;137.0;137.0;28.0;20.0;20.0;0.0;0.0;0.0;33187.0;163.0;33187.0;1467.0
2018-01-19 09:38:3.787828;86.09;161.0;137.0;137.0;56.0;20.0;20.0;0.0;0.0;0.0;33189.0;165.0;33189.0;1477.0
2018-01-19 09:38:3.888757;85.91;143.0;137.0;137.0;56.0;20.0;20.0;0.0;0.0;0.0;33190.0;166.0;33190.0;1468.0
2018-01-19 09:38:3.988761;85.89;141.0;137.0;137.0;56.0;20.0;20.0;0.0;0.0;0.0;33189.0;165.0;33189.0;1470.0
2018-01-19 09:38:4.088805;86.05;157.0;137.0;137.0;58.0;20.0;20.0;0.0;0.0;0.0;33190.0;166.0;33190.0;1470.0
2018-01-19 09:38:4.189252;85.99;151.0;137.0;137.0;58.0;20.0;20.0;0.0;0.0;0.0;33190.0;166.0;33190.0;1470.0
2018-01-19 09:38:4.289248;85.83;135.0;137.0;137.0;58.0;20.0;20.0;0.0;0.0;0.0;33189.0;165.0;33189.0;1469.0
2018-01-19 09:38:4.389296;85.82000000000001;134.0;137.0;137.0;56.0;20.0;20.0;0.0;0.0;0.0;33189.0;165.0;33189.0;1464.0
2018-01-19 09:38:4.533946;85.67;119.0;137.0;137.0;58.0;20.0;20.0;0.0;0.0;0.0;33189.0;165.0;33189.0;1472.0
2018-01-19 09:38:4.636824;85.28;80.0;137.0;137.0;64.0;20.0;20.0;0.0;0.0;0.0;33190.0;166.0;33190.0;1475.0
2018-01-19 09:38:4.736828;84.91;43.0;137.0;137.0;48.0;20.0;20.0;0.0;0.0;0.0;33190.0;166.0;33190.0;1473.0
2018-01-19 09:38:4.836868;85.19;71.0;137.0;137.0;48.0;20.0;20.0;0.0;0.0;0.0;33191.0;167.0;33191.0;1474.0
2018-01-19 09:38:4.937336;84.81;33.0;137.0;137.0;46.0;20.0;20.0;0.0;0.0;0.0;33190.0;166.0;33190.0;1475.0
2018-01-19 09:38:5.037332;85.12;64.0;137.0;137.0;43.0;20.0;20.0;0.0;0.0;0.0;33190.0;166.0;33190.0;1473.0
2018-01-19 09:38:5.137392;84.71000000000001;23.0;137.0;137.0;43.0;20.0;20.0;0.0;0.0;0.0;33191.0;167.0;33191.0;1473.0
2018-01-19 09:38:5.237808;84.34;242.0;137.0;137.0;43.0;20.0;20.0;0.0;0.0;0.0;33191.0;167.0;33191.0;1478.0
