dateHour;gpsSpeed;gpsSatCount;Gear;Brake_pedal;Accel_pedal;Machine_Speed_Mesured;AST_Direction;Ast_HPMB1_Pressure_bar;Ast_HPMA_Pressure_bar;Pressure_HighPressureReturn;Pressure_HighPressure;Oil_Temperature;Ast_FrontAxleSpeed_Rpm;Pump_Speed
2018-01-22 09:36:0.543492;85.78;130.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33193.0;169.0;33193.0;1483.0
2018-01-22 09:36:0.643539;85.65;117.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1479.0
2018-01-22 09:36:0.743538;85.67;119.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33193.0;169.0;33193.0;1488.0
2018-01-22 09:36:0.843539;85.97;149.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33193.0;169.0;33193.0;1487.0
2018-01-22 09:36:0.943552;85.74;126.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1480.0
2018-01-22 09:36:1.043552;85.95;147.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33193.0;169.0;33193.0;1481.0
2018-01-22 09:36:1.143551;86.09;161.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33193.0;169.0;33193.0;1485.0
2018-01-22 09:36:1.243562;85.63;115.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33193.0;169.0;33193.0;1485.0
2018-01-22 09:36:1.343565;85.61;113.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33193.0;169.0;33193.0;1481.0
2018-01-22 09:36:1.443562;86.16;168.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33193.0;169.0;33193.0;1487.0
2018-01-22 09:36:1.54357;85.45;97.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1488.0
2018-01-22 09:36:1.643569;85.39;91.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1478.0
2018-01-22 09:36:1.743583;84.78;30.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33193.0;169.0;33193.0;1486.0
2018-01-22 09:36:1.843583;84.84;36.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1486.0
2018-01-22 09:36:1.943592;84.8;32.0;137.0;137.0;0.0;20.0;20.0;0.0;0.0;0.0;33194.0;170.0;33194.0;1480.0
